iter	Passed	Remaining
416	2579	3605
417	2584	3598
418	2590	3591
419	2595	3584
420	2601	3577
421	2606	3570
422	2611	3562
423	2617	3555
424	2623	3548
425	2627	3541
426	2633	3534
427	2639	3527
428	2644	3519
429	2650	3513
430	2655	3506
431	2660	3498
432	2666	3491
433	2671	3484
434	2676	3476
435	2682	3469
436	2687	3462
437	2693	3455
438	2698	3448
439	2704	3441
440	2710	3435
441	2715	3428
442	2721	3421
443	2726	3414
444	2732	3407
445	2739	3402
446	2745	3396
447	2750	3388
448	2756	3382
449	2762	3375
450	2767	3368
451	2772	3361
452	2778	3354
453	2783	3347
454	2788	3340
455	2794	3333
456	2799	3326
457	2804	3319
458	2810	3312
459	2815	3305
460	2820	3298
461	2826	3291
462	2831	3284
463	2837	3277
464	2843	3271
465	2848	3264
466	2853	3257
467	2859	3251
468	2865	3244
469	2871	3237
470	2877	3231
471	2882	3224
472	2887	3217
473	2893	3210
474	2898	3203
475	2903	3196
476	2909	3190
477	2914	3183
478	2920	3176
479	2925	3169
480	2931	3162
481	2936	3155
482	2942	3149
483	2947	3142
484	2952	3135
485	2958	3128
486	2963	3121
487	2968	3114
488	2974	3108
489	2979	3101
490	2984	3094
491	2990	3087
492	2996	3081
493	3001	3074
494	3006	3067
495	3012	3061
496	3017	3054
497	3023	3047
498	3028	3041
499	3034	3034
500	3039	3027
501	3045	3021
502	3050	3014
503	3056	3007
504	3062	3001
505	3068	2995
506	3073	2988
507	3079	2982
508	3084	2975
509	3089	2968
510	3095	2962
511	3100	2955
512	3106	2948
513	3112	2942
514	3117	2936
515	3123	2929
516	3128	2922
517	3134	2916
518	3140	2910
519	3146	2904
520	3151	2897
521	3156	2890
522	3162	2884
523	3167	2877
524	3172	2870
525	3178	2864
526	3184	2858
527	3189	2851
528	3195	2845
529	3200	2838
530	3205	2831
531	3211	2825
532	3217	2818
533	3222	2812
534	3228	2805
535	3233	2799
536	3238	2792
537	3243	2785
538	3249	2779
539	3254	2772
540	3259	2765
541	3265	2759
542	3269	2752
543	3276	2746
544	3282	2740
545	3287	2733
546	3292	2726
547	3298	2720
548	3303	2713
549	3309	2707
550	3314	2701
551	3319	2694
552	3326	2688
553	3332	2682
554	3338	2676
555	3344	2670
556	3350	2664
557	3355	2658
558	3361	2651
559	3366	2645
560	3371	2638
561	3376	2631
562	3382	2625
563	3388	2619
564	3392	2612
565	3398	2605
566	3404	2599
567	3409	2593
568	3414	2586
569	3420	2580
570	3425	2573
571	3430	2567
572	3436	2561
573	3441	2554
574	3447	2547
575	3452	2541
576	3457	2534
577	3463	2528
578	3469	2522
579	3474	2515
580	3479	2509
581	3484	2502
582	3490	2496
583	3495	2490
584	3500	2483
585	3506	2477
586	3511	2470
587	3517	2464
588	3523	2458
589	3529	2452
590	3535	2446
591	3541	2440
592	3546	2434
593	3553	2428
594	3558	2422
595	3563	2415
596	3569	2409
597	3574	2403
598	3579	2396
599	3585	2390
600	3590	2384
601	3595	2377
602	3601	2371
603	3607	2364
604	3612	2358
605	3618	2352
606	3623	2346
607	3629	2340
608	3636	2334
609	3642	2328
610	3648	2323
611	3654	2317
612	3661	2311
613	3667	2305
614	3673	2299
615	3679	2293
616	3685	2287
617	3691	2281
618	3697	2275
619	3703	2269
620	3709	2263
621	3715	2258
622	3721	2251
623	3727	2246
624	3734	2240
625	3740	2234
626	3745	2228
627	3751	2222
628	3758	2216
629	3764	2210
630	3769	2204
631	3776	2198
632	3782	2192
633	3788	2187
634	3794	2181
635	3801	2175
636	3807	2169
637	3813	2163
638	3819	2157
639	3825	2151
640	3832	2146
641	3838	2140
642	3844	2134
643	3850	2128
644	3856	2122
645	3862	2116
646	3869	2111
647	3875	2105
648	3881	2099
649	3888	2093
650	3894	2087
651	3900	2081
652	3906	2075
653	3913	2070
654	3920	2065
655	3926	2059
656	3933	2053
657	3939	2047
658	3945	2041
659	3952	2035
660	3957	2029
661	3963	2023
662	3969	2017
663	3975	2011
664	3981	2005
665	3987	1999
666	3994	1994
667	4000	1988
668	4005	1981
669	4012	1976
670	4018	1970
671	4025	1964
672	4031	1958
673	4037	1952
674	4044	1947
675	4050	1941
676	4057	1935
677	4063	1929
678	4069	1923
679	4075	1918
680	4082	1912
681	4088	1906
682	4094	1900
683	4101	1894
684	4107	1889
685	4113	1882
686	4119	1876
687	4125	1870
688	4131	1864
689	4137	1858
690	4142	1852
691	4148	1846
692	4154	1840
693	4160	1834
694	4167	1828
695	4173	1822
696	4179	1816
697	4185	1810
698	4191	1804
699	4198	1799
700	4204	1793
701	4211	1787
702	4217	1781
703	4223	1775
704	4230	1770
705	4236	1764
706	4242	1758
707	4248	1752
708	4254	1746
709	4261	1740
710	4267	1734
711	4273	1728
712	4280	1722
713	4286	1717
714	4292	1711
715	4298	1704
716	4305	1699
717	4312	1693
718	4317	1687
719	4322	1681
720	4328	1675
721	4335	1669
722	4340	1662
723	4346	1656
724	4352	1650
725	4358	1644
726	4363	1638
727	4369	1632
728	4375	1626
729	4380	1620
730	4386	1614
731	4392	1608
732	4397	1601
733	4403	1595
734	4408	1589
735	4414	1583
736	4419	1577
737	4425	1571
738	4432	1565
739	4437	1559
740	4443	1553
741	4449	1547
742	4455	1540
743	4460	1534
744	4466	1528
745	4471	1522
746	4476	1516
747	4482	1510
748	4488	1504
749	4493	1497
750	4499	1491
751	4504	1485
752	4510	1479
753	4516	1473
754	4522	1467
755	4527	1461
756	4533	1455
757	4538	1449
758	4544	1442
759	4549	1436
760	4554	1430
761	4559	1424
762	4565	1418
763	4570	1411
764	4575	1405
765	4581	1399
766	4587	1393
767	4592	1387
768	4597	1381
769	4603	1374
770	4608	1368
771	4613	1362
772	4619	1356
773	4624	1350
774	4630	1344
775	4635	1338
776	4640	1331
777	4646	1325
778	4653	1320
779	4664	1315
780	4671	1310
781	4679	1304
782	4689	1299
783	4698	1294
784	4706	1289
785	4715	1283
786	4721	1277
787	4729	1272
788	4735	1266
789	4742	1260
790	4749	1255
791	4757	1249
792	4763	1243
793	4770	1237
794	4777	1231
795	4784	1226
796	4792	1220
797	4799	1214
798	4805	1208
799	4810	1202
800	4816	1196
801	4823	1190
802	4829	1184
803	4834	1178
804	4841	1172
805	4847	1166
806	4854	1160
807	4860	1155
808	4867	1149
809	4874	1143
810	4880	1137
811	4888	1131
812	4894	1125
813	4901	1120
814	4908	1114
815	4916	1108
816	4923	1102
817	4930	1097
818	4937	1091
819	4944	1085
820	4951	1079
821	4957	1073
822	4964	1067
823	4971	1061
824	4977	1055
825	4984	1049
826	4990	1044
827	4997	1038
828	5004	1032
829	5011	1026
830	5018	1020
831	5024	1014
832	5031	1008
833	5038	1002
834	5045	996
835	5051	991
836	5058	985
837	5065	979
838	5073	973
839	5079	967
840	5087	961
841	5093	955
842	5101	950
843	5108	944
844	5115	938
845	5121	932
846	5128	926
847	5135	920
848	5142	914
849	5148	908
850	5155	902
851	5162	896
852	5169	890
853	5176	884
854	5183	879
855	5189	873
856	5196	867
857	5202	861
858	5209	855
859	5216	849
860	5222	843
861	5230	837
862	5237	831
863	5244	825
864	5251	819
865	5258	813
866	5265	807
867	5273	801
868	5279	795
869	5286	789
870	5293	783
871	5299	777
872	5306	771
873	5313	765
